"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";1597;1456;1493;;;;;;0;12055;4299;15923;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 00:08:58+02"
"AAA00354976091004203";1570;1431;1475;;;;;;0;12055;4299;15923;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 00:24:02+02"
"AAA00354976091004203";1548;1406;1456;;;;;;0;12055;4292;15923;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 00:39:13+02"
"AAA00354976091004203";1522;1393;1437;;;;;;0;12055;4299;15996;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 00:54:18+02"
"AAA00354976091004203";1497;1375;1425;;;;;;0;12055;4299;15996;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 01:09:23+02"
"AAA00354976091004203";1477;1362;1406;;;;;;0;12055;4299;15996;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 01:24:28+02"
"AAA00354976091004203";1458;1350;1406;;;;;;0;12055;4299;16142;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 01:39:28+02"
"AAA00354976091004203";1438;1343;1393;;;;;;0;12055;4292;16215;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 01:54:32+02"
"AAA00354976091004203";1422;1325;1381;;;;;;0;12055;4299;16215;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 02:09:37+02"
"AAA00354976091004203";1422;1318;1368;;;;;;0;12055;4292;16215;45.7275;9.7127;309;;;;;;;;;;0;"2023-04-12 02:24:41+02"
"AAA00354976091004203";1406;1306;1362;;;;;;0;12055;4299;16288;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 02:39:46+02"
"AAA00354976091004203";1390;1293;1350;;;;;;0;12055;4299;16360;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 02:54:50+02"
"AAA00354976091004203";1377;1281;1362;;;;;;0;12120;4306;16288;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 03:09:54+02"
"AAA00354976091004203";1364;1275;1337;;;;;;0;12055;4299;16288;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 03:24:59+02"
"AAA00354976091004203";1351;1262;1331;;;;;;0;12055;4299;16360;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 03:40:04+02"
"AAA00354976091004203";1340;1256;1318;;;;;;0;12055;4299;16360;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 03:55:09+02"
"AAA00354976091004203";1328;1250;1312;;;;;;0;12055;4299;16433;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 04:10:13+02"
"AAA00354976091004203";1318;1237;1306;;;;;;0;12055;4292;16433;45.7275;9.7127;293;;;;;;;;;;0;"2023-04-12 04:25:17+02"
