id,hive,internal,external,board,operational,panel,cell,weight,latitude,longitude,altitude,temperature,pressure,humidity,rain_level,wind_direction,wind_speed,wind_speed_mean,wind_speed_max,wind_direction_at_max_speed,flow,date,temperatura interna,temperatura esterna,temperatura meteo,peso bilancia
1,AAA00353656109378739,1581,1525,1712,0,11924,4142,16966,"45,7275","9,7127",294,1043,9767,58,0,0,11,3,11,0,0,12/4/23 0.03,"15,81","15,25","10,43","16,966"
2,AAA00353656109378739,1553,1500,1650,0,11924,4128,17035,"45,7275","9,7127",294,1031,9767,58,0,0,0,2,14,0,0,12/4/23 0.18,"15,53","15,00","10,31","17,035"
3,AAA00353656109378739,1528,1475,1631,0,11858,4122,17001,"45,7275","9,7127",294,1013,9767,59,0,0,0,2,12,0,0,12/4/23 0.33,"15,28","14,75","10,13","17,001"
4,AAA00353656109378739,1503,1450,1600,0,11858,4142,17070,"45,7275","9,7127",294,1016,9766,60,0,0,11,1,11,0,0,12/4/23 0.49,"15,03","14,50","10,16","17,07"
5,AAA00353656109378739,1478,1425,1575,0,11858,4128,17001,"45,7275","9,7127",294,1049,9767,61,0,292,0,12,31,0,0,12/4/23 1.04,"14,78","14,25","10,49","17,001"
6,AAA00353656109378739,1455,1412,1556,0,11924,4128,17035,"45,7275","9,7127",294,1027,9767,61,0,292,4,0,4,292,0,12/4/23 1.19,"14,55","14,12","10,27","17,035"
7,AAA00353656109378739,1434,1387,1543,0,11858,4142,17035,"45,7275","9,7127",294,1068,9766,61,0,0,20,12,20,0,0,12/4/23 1.34,"14,34","13,87","10,68","17,035"
8,AAA00353656109378739,1414,1368,1518,0,11858,4115,17104,"45,7275","9,7127",294,1083,9764,61,0,0,0,8,20,0,0,12/4/23 1.49,"14,14","13,68","10,83","17,104"
9,AAA00353656109378739,1396,1350,1493,0,11924,4128,17070,"45,7275","9,7127",294,1048,9763,62,0,0,18,7,18,0,0,12/4/23 2.04,"13,96","13,50","10,48","17,07"
10,AAA00353656109378739,1377,1337,1481,0,11858,4135,17070,"45,7275","9,7127",294,1023,9763,62,0,0,0,0,0,0,0,12/4/23 2.19,"13,77","13,37","10,23","17,07"
