id,hive,internal,external,board,operational,panel,cell,weight,latitude,longitude,altitude,temperature,pressure,humidity,rain_level,wind_direction,wind_speed,wind_speed_mean,wind_speed_max,wind_direction_at_max_speed,flow,date,temperature_C,lat_lon
1,AAA00353656109378739,3367,2175,2350,0,11924,4128,85140,457274,97126,296,1818,9797,66,0,0,0,12,21,0,2,1/6/22 0.03,18,"45.7275, 9.7127"
2,AAA00353656109378739,3363,2168,2418,0,11989,4101,85175,457274,97126,296,1814,9798,66,0,292,12,8,12,0,6,1/6/22 0.18,18,"45.7275, 9.7127"
3,AAA00353656109378739,3363,2156,2343,0,11924,4122,85105,457274,97126,296,1787,9796,66,0,0,15,15,31,0,3,1/6/22 0.33,18,"45.7275, 9.7127"
4,AAA00353656109378739,3363,2143,2356,0,11858,4135,85105,457274,97126,296,1748,9794,66,0,337,4,15,27,0,3,1/6/22 0.51,17,"45.7275, 9.7127"
5,AAA00353656109378739,3365,2131,2318,0,11924,4149,85140,457274,97126,296,,,,,,,,,,0,1/6/22 1.03,0,"45.7275, 9.7127"
6,AAA00353656109378739,3363,2125,2300,0,11924,4135,85105,457274,97126,296,1659,9796,68,0,0,15,8,28,0,0,1/6/22 1.18,17,"45.7275, 9.7127"
7,AAA00353656109378739,3363,2106,2287,0,11858,4128,85140,457274,97126,296,1640,9796,69,0,0,32,24,37,0,0,1/6/22 1.33,16,"45.7275, 9.7127"
8,AAA00353656109378739,3372,2093,2306,0,11924,4142,85140,457274,97126,296,1658,9796,69,0,67,4,6,15,0,0,1/6/22 1.51,17,"45.7275, 9.7127"
9,AAA00353656109378739,3370,2081,2262,0,11924,4135,85140,457274,97126,296,1653,9796,69,0,0,27,25,32,0,2,1/6/22 2.03,17,"45.7275, 9.7127"
10,AAA00353656109378739,3366,2056,2237,0,11924,4135,85140,457274,97126,296,1662,9795,69,0,337,33,21,33,337,0,1/6/22 2.19,17,"45.7275, 9.7127"
11,AAA00353656109378739,3362,2037,2218,0,11924,4128,85140,457274,97126,296,1642,9795,69,0,0,11,31,42,0,4,1/6/22 2.34,16,"45.7275, 9.7127"
12,AAA00353656109378739,3375,2025,2250,0,11858,4128,85175,457274,97126,296,1633,9795,69,0,292,23,20,30,0,3,1/6/22 2.50,16,"45.7275, 9.7127"
13,AAA00353656109378739,3367,2012,2200,0,11858,4135,85175,457274,97126,296,1607,9796,69,0,0,12,9,18,0,0,1/6/22 3.04,16,"45.7275, 9.7127"
14,AAA00353656109378739,3372,1993,2181,0,11858,4142,85175,457274,97126,296,1589,9796,69,0,22,17,14,24,0,0,1/6/22 3.19,16,"45.7275, 9.7127"
15,AAA00353656109378739,3384,1975,2162,0,11793,4128,85175,457274,97126,296,1579,9796,70,0,292,10,13,22,0,2,1/6/22 3.34,16,"45.7275, 9.7127"
16,AAA00353656109378739,3370,1962,2193,0,11924,4142,85209,457274,97126,296,1567,9795,70,0,292,15,20,33,0,2,1/6/22 3.49,16,"45.7275, 9.7127"
17,AAA00353656109378739,3376,1962,2212,0,11924,4149,85244,457275,97127,309,1540,9795,71,0,0,9,12,25,0,1,1/6/22 4.04,15,"45.7275, 9.7127"
18,AAA00353656109378739,3359,1956,2231,0,11989,4122,85278,457275,97127,309,1518,9794,71,0,337,30,27,38,0,0,1/6/22 4.19,15,"45.7275, 9.7127"
19,AAA00353656109378739,3358,1931,2137,0,11924,4128,85209,457275,97127,309,1510,9795,72,0,337,34,31,43,0,1,1/6/22 4.35,15,"45.7275, 9.7127"
20,AAA00353656109378739,3368,1912,2162,0,11793,4128,85244,457275,97127,309,1513,9794,72,0,292,19,24,32,0,1,1/6/22 4.51,15,"45.7275, 9.7127"
21,AAA00353656109378739,3353,1906,2100,0,11924,4128,85209,457275,97127,309,1497,9794,72,0,0,28,33,49,0,0,1/6/22 5.05,15,"45.7275, 9.7127"
22,AAA00353656109378739,3363,1887,2075,0,11924,4135,85140,457275,97127,309,1494,9794,72,0,0,30,24,32,0,0,1/6/22 5.20,15,"45.7275, 9.7127"
23,AAA00353656109378739,3341,1875,2056,0,11924,4128,85105,457275,97127,309,1493,9794,72,0,0,27,29,45,0,4,1/6/22 5.35,15,"45.7275, 9.7127"
24,AAA00353656109378739,3340,1862,2100,0,11793,4149,85071,457275,97127,309,1478,9796,73,0,0,33,18,33,0,12,1/6/22 5.50,15,"45.7275, 9.7127"
25,AAA00353656109378739,3353,1843,2043,0,11924,4128,85105,457275,97127,309,1473,9796,73,0,0,9,19,35,0,9,1/6/22 6.05,15,"45.7275, 9.7127"
26,AAA00353656109378739,3348,1825,2018,0,11924,4149,85071,457275,97127,309,1487,9797,73,0,0,35,19,35,0,17,1/6/22 6.20,15,"45.7275, 9.7127"
27,AAA00353656109378739,3365,1825,2006,0,11924,4128,85140,457275,97127,309,1508,9799,73,0,0,49,27,49,0,8,1/6/22 6.35,15,"45.7275, 9.7127"
28,AAA00353656109378739,3351,1825,2050,0,11924,4122,85140,457275,97127,309,1536,9800,73,0,0,40,31,46,0,7,1/6/22 6.51,15,"45.7275, 9.7127"
29,AAA00353656109378739,3360,1818,2025,0,11858,4135,85175,457275,97127,309,1632,9801,73,0,292,35,28,43,0,8,1/6/22 7.05,16,"45.7275, 9.7127"
30,AAA00353656109378739,3366,1818,2000,0,11924,4128,85175,457275,97127,309,1696,9801,71,0,0,27,27,46,0,7,1/6/22 7.20,17,"45.7275, 9.7127"
31,AAA00353656109378739,3378,1825,1993,0,11924,4128,85140,457275,97127,309,1732,9802,70,0,0,6,24,38,0,3,1/6/22 7.36,17,"45.7275, 9.7127"
32,AAA00353656109378739,3357,1837,2062,0,11858,4115,85071,457275,97127,,1785,9803,69,0,0,13,17,25,0,8,1/6/22 7.51,18,"45.7275, 9.7127"
